"binom","body.size","rel.wing","resid.wing","range.size","bio1_mean","range.elev","max.mean.elev","min.mean.elev","max.elev","min.elev","max.min.elev","min.max.elev","max.mean.elev.finer","min.mean.elev.finer","range.elev.finer","bio6_mean"
"Arigomphus_submedianus",53,0.895487822785436,-0.030240841748258,8.31e+11,149.6773966,508.838777587,518.4181519,9.579374313,736,-171,375,29,650.8526235,9.526760563,641.325862937,-38.22534952
"Arigomphus_villosipes",54,0.872713465057374,-0.809778278927273,9.66e+11,97.25685623,797.38871001,808.1276245,10.73891449,1931,-35,303,30,1043.031636,13.69088099,1029.34075501,-85.75876788
"Basiaeschna_janata",58.5,0.88068207826944,-0.438903086210254,2.04e+12,88.32434526,801.895507324,808.1276245,6.232117176,1931,-78,447,22,1043.031636,7.323559151,1035.708076849,-106.4473138
"Boyeria_grafiana",64,0.895839905224488,0.190569662542459,6.91e+11,58.48688503,745.65147403,791.9666138,46.31513977,1929,-16,447,167,1157.099537,31.67669753,1125.42283947,-141.4395238
"Boyeria_vinosa",65.5,0.896570808106653,0.241527800865723,2.13e+12,98.51193806,856.161392711,863.3798218,7.218429089,1931,-171,649,27,1157.099537,5.885714286,1151.213822714,-91.48713016
"Brachymesia_furcata",43.5,0.934689629817118,1.08217369608557,8.86e+11,203.403277,1600.455585777,1602.488159,2.032573223,3536,-121,834,7,1531.487654,-8.634259259,1540.121913259,55.23076403
"Brachymesia_gravida",52,0.923926363773985,0.919821680568867,1.42e+12,185.4252022,1407.659512551,1409.459106,1.799593449,3172,-78,1022,7,1554.755401,1.101666667,1553.653734333,22.7020654
"Brachymesia_herbida",44.5,0.940467096221632,1.29872491318129,1.1e+11,217.8334595,1292.037853413,1297.318237,5.280383587,2448,0,877,20,914.9722222,3.48,911.4922222,76.37844038
"Brechmorhoga_mendax",57.5,0.901000000820123,0.250517769989188,7.58e+11,168.787255,2122.9936595,2164.66748,41.6738205,4206,-79,1394,233,2425.749228,3.536265432,2422.212962568,5.349165788
"Brechmorhoga_pertinax",51,0.941369816430007,1.47932760354383,21176047868,160.3585968,29.7978519999999,1437.349976,1407.552124,2883,852,910,2432,1419.569444,1403.979938,15.589506,-18.66520023
